AUTHOR,HOMONYMOUS,OPENALEX_AUTHOR_NAME,AUTHOR_ID,WORKS_API_URL
Heidi Swygard,0,Heidi Swygard,https://openalex.org/A5071836420,https://api.openalex.org/works?filter=author.id:A5071836420
Basmattee Boodram,0,Basmattee Boodram,https://openalex.org/A5013281924,https://api.openalex.org/works?filter=author.id:A5013281924
Holly G. Prigerson,0,Holly G. Prigerson,https://openalex.org/A5080434143,https://api.openalex.org/works?filter=author.id:A5080434143
Lisa Dubay,0,Lisa Dubay,https://openalex.org/A5090226112,https://api.openalex.org/works?filter=author.id:A5090226112
Robert J. Ursano,0,Robert J. Ursano,https://openalex.org/A5078619170,https://api.openalex.org/works?filter=author.id:A5078619170
Giovanni Targher,0,Giovanni Targher,https://openalex.org/A5071075382,https://api.openalex.org/works?filter=author.id:A5071075382
Emily Hoffnar,0,Emily Hoffnar,https://openalex.org/A5057982721,https://api.openalex.org/works?filter=author.id:A5057982721
Dennis G. Fryback,0,Dennis G. Fryback,https://openalex.org/A5090726434,https://api.openalex.org/works?filter=author.id:A5090726434
Stefan Agrigoroaei,0,Stefan Agrigoroaei,https://openalex.org/A5060161366,https://api.openalex.org/works?filter=author.id:A5060161366
George W. Dowdall,0,George W. Dowdall,https://openalex.org/A5060515821,https://api.openalex.org/works?filter=author.id:A5060515821
Harold J. Spaeth,0,Harold J. Spaeth,https://openalex.org/A5043127510,https://api.openalex.org/works?filter=author.id:A5043127510
Indrawati Liauw,0,Indrawati Liauw,https://openalex.org/A5031747299,https://api.openalex.org/works?filter=author.id:A5031747299
Mary Koutselini,0,Mary Koutselini,https://openalex.org/A5017525304,https://api.openalex.org/works?filter=author.id:A5017525304
Eliza K. Pavalko,0,Eliza K. Pavalko,https://openalex.org/A5014951334,https://api.openalex.org/works?filter=author.id:A5014951334
William H. Jeynes,0,William H. Jeynes,https://openalex.org/A5059397694,https://api.openalex.org/works?filter=author.id:A5059397694
Arline T. Geronimus,0,Arline T. Geronimus,https://openalex.org/A5006005495,https://api.openalex.org/works?filter=author.id:A5006005495
Julie Kreyenbuhl,0,Julie Kreyenbuhl,https://openalex.org/A5071057910,https://api.openalex.org/works?filter=author.id:A5071057910
Karen Andersen-Ranberg,0,Karen Andersen-Ranberg,https://openalex.org/A5009961282,https://api.openalex.org/works?filter=author.id:A5009961282
Steven Hitlin,0,Steven Hitlin,https://openalex.org/A5038118989,https://api.openalex.org/works?filter=author.id:A5038118989
Hazel M. Prelow,0,Hazel M. Prelow,https://openalex.org/A5043399496,https://api.openalex.org/works?filter=author.id:A5043399496
Jeffrey L. Edleson,0,Jeffrey L. Edleson,https://openalex.org/A5037829609,https://api.openalex.org/works?filter=author.id:A5037829609
Kasey Tucker-Gail,0,Kasey Tucker-Gail,https://openalex.org/A5068811731,https://api.openalex.org/works?filter=author.id:A5068811731
Raghav Gaiha,0,Raghav Gaiha,https://openalex.org/A5058042162,https://api.openalex.org/works?filter=author.id:A5058042162
Alicia I. Arbaje,0,Alicia I. Arbaje,https://openalex.org/A5007328563,https://api.openalex.org/works?filter=author.id:A5007328563
